Commit_Hash,bug,prediction_prob,threshold,pred,TP,FN,Changed_method_sig,Changed_func_args,Added_func_calls,Changed_condi,Added_var,Added_if,Added_loop,Added_newfunc,Filecount,Editcount,MultilineCommentscount,FilesOnlyChangedCommentsCount,Inwards_sum,Inwards_avg,Outwards_sum,Outwards_avg
37627645e47d35643454a84ae4a8c682ee0b18eb,0,0.160160363,0.15037185,1,0,0,Y,N,Y,Y,Y,Y,Y,Y,10,1120,58,0,9,0.9,114,11.4
e1165ce1180bba1a11098cfacfe3c722a084dbcf,0,0.111402072,0.15037185,0,0,0,N,N,N,N,N,Y,N,N,2,6,0,0,0,0,0,0
05691c2e4c69e389ec52f8083f0b1d17590aa02b,1,0.173044875,0.15037185,1,1,0,Y,N,N,N,Y,N,N,N,3,20,0,0,35,11.66666667,71,23.66666667
39e465386e352121e3205130e56ab70798192991,0,0.016682623,0.15037185,0,0,0,N,N,N,N,N,N,N,N,1,2,0,0,0,0,12,12
251159c90a69dfb61d9927093d5eae41cd99e2a7,0,0.137570396,0.15037185,0,0,0,N,N,Y,N,Y,N,N,N,2,52,0,0,0,0,8,4
acebf769a41a9a55cdc6789bf4962ea64cf87773,1,0.11751458,0.15037185,0,0,1,N,N,Y,N,Y,N,N,N,2,19,12,0,4,2,18,9
50edccfad29d3c602eba628fc80e46a0a67de090,0,0.031035637,0.15037185,0,0,0,N,N,N,N,N,N,N,N,1,2,0,0,2,2,6,6
028cca90c7c5e2b17205740d9198cbb443e6a2b2,1,0.164535135,0.15037185,1,1,0,Y,N,Y,Y,Y,Y,Y,Y,5,74,0,0,3,0.6,72,14.4
ae779e4bf761d2fd1df85d71c412c3d963be021b,0,0.180251062,0.15037185,1,0,0,N,N,Y,N,Y,N,N,N,5,33,0,0,94,18.8,71,14.2
f572a5eb93bff8b57b8a8a4aa92df86750c0843a,0,0.368369669,0.15037185,1,0,0,Y,N,Y,Y,Y,Y,Y,Y,25,1168,148,0,40,1.6,141,5.64
764add8bb11e2605802911bc51e3aa744787e719,1,0.128601447,0.15037185,0,0,1,N,N,Y,N,Y,N,N,N,5,196,0,0,82,16.4,59,11.8
