Commit_Hash,Bug,Filecount,Editcount,MultilineCommentscount,Inwards_sum,Inwards_avg,Outwards_sum,Outwards_avg,,,,
000174461a96ca70c76c8f3a85d9bf25fe673a2d,0,2,16,0,34,17,22,11,,,,
00057454f6609871c2cabf874876d26a6d0d0641,0,2,4,0,1,0.5,14,7,,,,
0007d255d9b20da4e5bbcdbaf5813104fbc092da,0,1,15,0,1,1,8,8,,,,
001961ed495a33cc944407888a2797f8a600e091,0,1,6,0,6,6,4,4,,,,
001d36c97eac77410f7dd32290d2142abfb19fa0,0,2,18,0,3,1.5,97,48.5,,,,
002d711fb7f16a6d5c7977e82e30837287b553b8,0,43,548,0,123,2.860465116,230,5.348837209,,,,
0038e3818393415fc9628aef2747136a626682ee,0,3,40,0,6,2,61,20.33333333,,,,
0043044f2e8ee3de8a9995bdbf51aad77f1a3fa9,1,8,829,34,18,2.25,83,10.375,,,,
0049967a874a3dca7c6ab8e8e84ca7dea21dc0b2,0,2,38,3,2,1,52,26,,,,
0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4,0,1,4,0,0,0,5,5,,,,
00592cfa0b90c66682be2bc31428277c35a35c48,0,5,13,0,10,2,23,4.6,,,,
005b9950ac84bf3ae06c24ee018f192064060428,0,1,5,0,7,7,0,0,,,,
005ef0796270cb6238dc9863b468b0f1d7026e7c,0,3,43,1,4,1.333333333,38,12.66666667,,,,
005ff1100a11c83808471ece313d0f9001f4653c,0,2,266,67,4,2,10,5,,,,
0061c0ce4443395a258a99c70e1c1a7d0435e84e,1,4,411,52,1,0.25,5,1.25,,,,
006a4e5e31a12d049c3d6308c3a2d73f57cd980f,0,2,18,0,5,2.5,19,9.5,,,,
006d673d24778abe6c47e3ee7e1a19e163912440,0,1,27,0,2,2,4,4,,,,
0070b452f1c00817dd4a47deb57bfbe6b79c4152,0,29,1856,55,151,5.206896552,320,11.03448276,,,,
00786bc554a2dfacb3c6f02fbb7e9c98f35d4262,0,25,335,43,0,0,5,0.2,,,,
007a1856dd8b5a781a3abe312a023344995162d6,0,1,18,0,5,5,14,14,,,,
008c3836c95a0183b3e6397a69f1420b0e55ec99,0,5,30,0,1,0.2,9,1.8,,,,
0094303e36cf1c01db539a1eea7771ebcb4d336a,0,3,263,4,0,0,5,1.666666667,,,,
0096ce10390af7a6a2fa3501c55cfbe447eb9ba8,0,2,48,0,2,1,33,16.5,,,,
0098f12e8b1f035c7ecdb952cfcd4bbae86b6246,0,1,1,0,4,4,33,33,,,,
00ab3d4f36a1e994698f7ab1ecada1cefa72e8db,0,4,56,0,70,17.5,21,5.25,,,,
00ac2c725097567ab090079db799e70a6f549794,0,2,5,0,0,0,3,1.5,,,,
00aced0ec5ad9520614ba1846d061f9605ace758,0,3,40,1,3,1,16,5.333333333,,,,
00c3fde8f841ae20810a8dc86d57f6231f2eba43,0,2,7,0,1,0.5,17,8.5,,,,
00c77e0e9af6ae16484e4bee5f33de1eeb812227,0,2,41,1,6,3,30,15,,,,
00cc32ccf6847ef649fbb9c1905f823c91903f44,0,1,2,0,1,1,5,5,,,,
00cebe1d57c7cfadc6017a65febd6188630b2456,0,2,33,3,1,0.5,22,11,,,,
00d65fa8bf83c2e9e5937108cbbf096918bbd23f,0,1,17,0,3,3,6,6,,,,
00f0b170ec15299b20c345fa1f66f21185c2dc79,0,4,30,5,0,0,59,14.75,,,,
00f5125745dc72afbc9aeade8b780d7a3be49a30,0,2,6,0,64,32,70,35,,,,
00f9d718d2d746ca8664290b79c852bb91fca1cc,0,4,20,0,18,4.5,27,6.75,,,,
0107ce638b5c75bf112d74aab62914ffa5033a96,0,1,1,0,4,4,22,22,,,,
0109231fcdb3c9e850afef82ba27090a4a0178af,1,9,110,0,53,5.888888889,101,11.22222222,,,,
0109cc967c0a8adb9073b6e89276312cb5a95bc4,1,9,197,2,7,0.777777778,104,11.55555556,,,,
010c0801bdf6172690451c4e4364af7196f8e54f,0,17,610,0,113,6.647058824,131,7.705882353,,,,
010f130acee3e5253a0c687aaf6ee8849e099982,0,2,4,0,0,0,17,8.5,,,,
010fe685e50a3680d8c8b9b6602677df90e815b3,0,5,174,22,6,1.2,27,5.4,,,,
01150b5d0d482a83a1065c2a6d62f4963c9f838d,0,1,3,0,32,32,1,1,,,,
0118103eec9f770fd9013d61f17865598db3737e,0,13,258,0,98,7.538461538,103,7.923076923,,,,
01194b356e39e3b0affca67015efb7634bf28697,0,2,15,0,1,0.5,20,10,,,,
011d99f300ea5d5f4ce48023bd04a795a4872287,1,2,125,9,9,4.5,45,22.5,,,,
011e6353afbd662d3f53454e6ef96829c0705b8d,0,5,32,0,1,0.2,15,3,,,,
0123dea839816b5618b1ab4492867aa347c225fe,0,4,19,5,9,2.25,59,14.75,,,,
012e47f820f1e213297c687f17159794e371823e,0,1,6,0,7,7,12,12,,,,
0135c4265380988a5a02b1cefa837b919fd1a8f4,0,4,139,21,2,0.5,17,4.25,,,,
013e3b2b1bd8c82a05062bce186d240ffd42bd42,0,4,78,0,38,9.5,77,19.25,,,,
01410c685080c9d700278fc430cc004fa112d783,0,3,49,0,33,11,36,12,,,,
014499acf5d6d6a557c9415aa49c536817a02a0a,0,2,9,0,4,2,6,3,,,,
014d3f9ee378a0c621c2ad1fad4c7338349b98ff,0,10,236,81,9,0.9,15,1.5,,,,
014f67a2769720f4833bba74343cedf0e894151c,0,1,2,0,7,7,0,0,,,,
015555acb75ee4d9298915951d2bfaf0d19d2b02,1,4,688,29,4,1,36,9,,,,
0156ec175cc047826b211727d43d5d14a3e1f2d2,0,10,45,0,46,4.6,268,26.8,,,,
015f2a2f2ec2d0d2d92273c0958aa918d38c5086,0,3,64,2,4,1.333333333,26,8.666666667,,,,
01627ff0bf522deb8c2a838724f88cd2506ca626,0,1,2,0,0,0,6,6,,,,
0165ff51f9b9a45dcab0418be24d3c8cab31ab5f,0,17,236,14,110,6.470588235,275,16.17647059,,,,
016e22469a3ca111a1562db6d04fae20febf2dbb,0,3,22,0,32,10.66666667,17,5.666666667,,,,
0185a36c40259c47d2647ba1dd5275f4088e525d,0,3,56,0,21,7,71,23.66666667,,,,
0185d2445f6db7278ba3a02ace597717ccdbd6b3,0,2,17,0,12,6,96,48,,,,
018ba6302b0f5b909e9f32f44a14c21313a2663e,0,4,44,4,31,7.75,63,15.75,,,,
0192898e30035028b002f9aed3199be69a18efb3,0,4,29,0,24,6,67,16.75,,,,
01985dd44d1b29c7ad7cb0932a1d30f7b6fe1911,1,4,92,0,13,3.25,65,16.25,,,,
019d7f5cda388c3053e369ca70902d03b72cca22,0,2,85,5,1,0.5,18,9,,,,
