Commit hash,Inwards_sum,Inwards_avg,Outwards_sum,Outwards_avg,,,,
df3356e74d52f3b61a0cfa85b7689fb0b34d3528,0,0,40,5,,,,
29bd7d02b027eb963e30eaaeef7f9bf1bcf8a7bf,2,2,16,8,,,,
30fc29ae5c99b1d960de383befe2306a9fbbda7e,151,1.438095238,302,1.438095238,,,,
27a802f1988cf228936596e42f968b5ce8b0f2ad,18,0.666666667,18,0.333333333,,,,
7cd0cfdaf7379c82d852b9fa3f32d163ed8d38c5,6,3,18,4.5,,,,
d069c8d5a27fbae2c4020cb06633b518a783b5c4,7,7,12,6,,,,
a5d94eb2207d5134343a05f830b6ff062553205f,69,6.9,34,1.7,,,,
5cb0c00c2760af4b0f45a283487effa7d3bf145b,9,9,10,5,,,,
f1d18a2ede78a97c152dd50c3899df51829c4260,0,0,4,2,,,,
25949fb8527e5a7b11abe666b61f296d6b7170b6,5,5,14,7,,,,
f4fb6abcc5bda601881b846613eb882b5a2db94d,9,4.5,40,10,,,,
561640b256ee354882a390f278b09ae17d1a35fd,23,11.5,10,2.5,,,,
b5366d0fa77bf219a26023a463c1b8045c7d306f,165,1.447368421,326,1.429824561,,,,
827a616c3a357ddd79b4e59848c57fcc6f82fa18,12,1.714285714,24,1.714285714,,,,
9f5ad02d516563e91f839cca82207f48bd75cfeb,5,5,14,7,,,,
1624ff06b8c702078b1974ccfa586d339e612ad0,24,12,8,2,,,,
31223818b4b9dd4956ae4263d83720209b1631f6,2,2,16,8,,,,
9e0a98a991407ed2b380ab24bc7fe739a492de10,8,8,12,6,,,,
e814cd7ee2a4f444754a7498cf1a006f43871842,10,3.333333333,32,5.333333333,,,,
37d401da86c84d445bcf614147efb1a26562252e,16,0.592592593,68,1.259259259,,,,
9bd8fe40ad65c95829155995bb68c1f1ee453d4c,0,0,4,2,,,,
eb1406272c4eafc5aa112c491cb82c20d7c73862,3,1.5,2,0.5,,,,
5277586c68e3232b5132bf65270f104c054a0409,0,0,4,2,,,,
056d9b57cee7476cdb6e901334c9f8e3992f5105,8,4,16,4,,,,
ec75fa7376a1508fe2b4d7685e23d35838945756,2,2,16,8,,,,
e6420ab03d2d13bbe2ff6d6cff52991e3fe1a243,12,4,50,8.333333333,,,,
e507ca474862970ca347b81ec486c084dd5ce442,41,8.2,44,4.4,,,,
de09a6dc2ba4de8b0d363e664c268a23c4e92b75,0,0,2,1,,,,
1bef04179cc68232815307f3cfd7a28aa0277fd9,0,0,4,2,,,,
08e38c1348639bebea7b7288a40701e4dc8d101a,4,4,28,14,,,,
7395490c6a2ee761bba14de1dbfed0a94d287c18,2,2,16,8,,,,
fea1dd6238a4c5f7f49e0c2719df906eb2f30e6a,4,4,0,0,,,,
b29d07c554e5beed0e88b8d75fc42b40b77fee6c,0,0,2,0.2,,,,
0d29579baffd4f31a3ec39590117f4fee821694d,4,4,26,13,,,,
d9eeaa01d38295170a93232ae714a2a682e94635,2,2,16,8,,,,
a5928f1d781f723dff03a839fe2228dc47d8c9b5,151,1.466019417,302,1.466019417,,,,
d5e48ccae233ee73b166c799643a7fb8c74ca1b0,151,1.424528302,302,1.424528302,,,,
da033ca3eb390539720674e843015a5c7601e0b2,2,2,4,2,,,,
091496f0c1a44991ebad534edc7ba0f2332ae02c,13,6.5,20,5,,,,
c36006f45fdcbdb97cbc3179c4ecc25203898fc5,2,2,16,8,,,,
352d2d90e6500f501f9922bc8b4001b2bcde6310,11,2.75,28,3.5,,,,
2ad155efe3bd0ba6a8cda1318f2797d82fbb5ef5,4,4,28,14,,,,
230fe9ff1ab037910071a6b7e2656df158a787f1,12,4,38,6.333333333,,,,
53ca8a7a66d4ff811516774c010237d195cec1cb,35,1.206896552,118,2.034482759,,,,
56fcaf36e8e3197e4394522e7ab6d74317d24c99,4,4,28,14,,,,
c31e5dfc55ce6f6f2761076881c90d57c4b99b70,2,0.666666667,16,2.666666667,,,,
ce7a3b0237678de1b1082fea3e594bc4d6723a2f,4,4,26,13,,,,
02d4cd7ac27d83a98f5c1b1925c21df122618e26,35,5,46,3.285714286,,,,
dff58b47a786a84dc5145a73171be2c3db688fe1,4,4,26,13,,,,
5b264430d7121adda49b3ea4283a28cfe8e9a499,4,4,10,5,,,,
bbb06afe37e6a58d13f51d355d2a36b4d4d03d39,0,0,0,0,,,,
59a003faafe53a155e4a46725ef41b1b7dca4b75,0,0,4,1,,,,
35e1b7dd8fef475a6bf7daf4067bae08dd635c11,1,0.142857143,2,0.142857143,,,,
409516d5bb269c2746c9740c00093450dfebc43a,0,0,4,2,,,,
ab3e8e80fbd81a38039c713189b0422972e0963e,0,0,0,0,,,,
fac53e23a7d6e7f3b29c7434a782f48b929093e7,7,1.166666667,38,3.166666667,,,,
022d6294cb50c832d054408ea5429aaa2de0b55b,7,7,12,6,,,,
279fc6ce0d6b56a9336240a549118220c9c9388d,1,0.333333333,6,1,,,,
7d07dea521f849aeaa58fb8e69066376755b74b8,0,0,4,2,,,,
2013def33a8601b9121844cbb3e4ddda827210a7,22,2.75,78,4.875,,,,
2a6a3f0b6b6b1317a9fb2fd55202e4dbadbc3795,4,4,26,13,,,,
8eccd45958eb698c628c8771beef3c975b5ffb43,4,4,26,13,,,,
c1055700b2e1a67ff29324ede8f1be61e35c2b67,2,1,32,8,,,,
e483565f2ce689aa4d59fa071e12ffa87daabe01,103,4.12,178,3.56,,,,
b9ea43645ac752f31a152583d7959f438c61cfa4,11,3.666666667,48,8,,,,
79422085297ce5a25dde14a3ca5a7a1b8e8d5ae6,0,0,4,2,,,,
b61d36ee3668833ad51b98ffcafc962b5dd3fa9a,0,0,4,0.181818182,,,,
ace322643b8fb4edde276de236a4d1a2b9af4846,2,2,12,6,,,,
fc209e432b3fa561969ccab37083aa5ee31b6a6d,8,8,10,5,,,,
781e17bb19d93de888ac68dad1f66d15115f72cc,1,0.166666667,0,0,,,,
7f79e04a22673dc2b8ae264452d851f5a13d11cd,4,4,26,13,,,,
07ffa04b917a55f48fd6fa27fd6b24260719742a,8,4,36,9,,,,
f224d3c106027dc6986756b81be79d1da7d98747,0,0,4,1,,,,
e2c05ca8b3764ac85cc908b96add832995e8f4d4,4,1,26,3.25,,,,
7371bac96ba0962b79b59994e4e9b9adf4ee17e8,1,1,12,6,,,,
b6b5de9907479d9c52ad12d3adc0952192cac492,4,4,26,13,,,,
57712fa583f22b3f6be63d98ab6bec3504e9a628,4,4,28,14,,,,
299a2f39a17c5fb66def1a863e4ef8f46e4d8b87,4,4,2,1,,,,
885025ab3204fa146461f982a71f05f796d0fbd2,0,0,26,13,,,,
3a4cd70e12a0607988e6f7d4f7c0c4fbcf00af86,7,7,12,6,,,,
9a9920ef7bc751d08ed8c425dc67730a28b4c355,0,0,0,0,,,,
8e8f5991f755f473ba109e0cc4cc0ee927620ed9,4,4,26,13,,,,
bad8ed60958f476329e39c4a90575e786364cac8,9,9,10,5,,,,
1a13dbe720db2559bb6748a55f58cf90b5c57f0b,8,8,10,5,,,,
723d4b86ce1303c513b3becea9f7c0a2d3227778,2,2,16,8,,,,
18176e289745019d0f25521f5cf05f06c41ac419,7,7,6,3,,,,
09c0570ce76576074fa0dd98276d959fe0287317,1,1,2,1,,,,
af130d3047322dc3889dc09970905cbdb40c86f4,4,1.333333333,8,1.333333333,,,,
ca43fcb3c24e0c9a1686647406c36cb020124fea,0,0,4,2,,,,
c1d9cc68c7a70fe3a61a0b21b57bf4afd990e564,0,0,6,1,,,,
6500083ceb9c9e63eb5ff544e91aa9d556c6739f,1,0.25,2,0.25,,,,
a19b85d2b3f4f7a43b2551b4065c125926805531,1,1,2,1,,,,
2ee4dc0502a9bbdb1f6db69fc8bc4b1d4c107009,4,2,4,1,,,,
7449ba7d04e0466eeb09001ffb7e4d38170a90cd,1,0.5,18,4.5,,,,
e1bf247cd661e4a2e058786718f4c671fbe8977a,0,0,2,0.333333333,,,,
3fe920463b4c6a43f66a7b7c51d71184703d30ba,6,0.375,12,0.375,,,,
abdb38773693745f5d2f8319b470bfbe0373cc1f,1,1,2,1,,,,
4a81d3bbe8ff3ae8b80982299b81031c7966cc16,11,1.833333333,30,2.5,,,,
4817842e1cc6a7017a2f836f69c9bea1de12dd47,1,1,2,1,,,,
df30d6777be1ede1cd1b529341c96ed40aa34b37,1,0.142857143,2,0.142857143,,,,
5ff0a12a8c98f86efb9181ecd50ba74bee81a860,0,0,4,0.666666667,,,,
a65cebaadfc71e3e1a92920d103b1b95da3967b2,0,0,2,1,,,,
2c9ca420bf3f8b32977a88e7923f18cc7557c613,1,0.111111111,4,0.222222222,,,,
e5d6abb31861f8e13b2348575e38daf0ca1511c3,0,0,0,0,,,,
5bf627f3c2f2f1495744ac74637ecd6ebcfc39b3,3,0.6,6,0.6,,,,
fb26b683146b38ab0092d8db9793eb3f824fb151,1,0.5,2,0.5,,,,
c4435020ce5f40bc82715f6fc8f75740e229b6fb,19,0.826086957,38,0.826086957,,,,
24f059eed0be5b901bbb81ce921a942ca785fe1d,0,0,0,0,,,,
a19fd0f9265bed96197a6823887c6f03fc23112d,1,1,0,0,,,,
2cdd7886bf424a4986cfa1e08462cf9689c4c3d3,6,2,116,19.33333333,,,,
0d95f7c0bebf31e17f34157334961c34a0e6ffd7,0,0,0,0,,,,
eccf1c51a68cce9f1642f66b594cf12b061dbc2b,0,0,0,0,,,,
3064c1bc8cc04a40f6e468033d73823987687d40,143,17.875,556,34.75,,,,
f0942bd8cb3b1f5e1de2c920c2ad894763277dd8,0,0,38,19,,,,
dc80838a378268a13ccbe74b481528f1ad631918,11,11,20,10,,,,
c4314f7aeb35568cc7f88fe94420c01f74f670a5,0,0,0,0,,,,
90cdac061783eb2ffd68615016c883ea958c497c,1,1,26,13,,,,
e051819983bc6625f8c3f4b8158cb67c2bd8dd52,26,26,56,28,,,,
dd30f3e65b7fb56f64c992dc5f341a9c5dba6c07,8,8,90,45,,,,
f6a067e0bad24bc7cd8d191f70e77eb92669bc1e,1,1,34,17,,,,
8f9346dd663d65f5030d4fb590564a8661a634d8,555,138.75,306,38.25,,,,
638fc652f587b47e9fd99ab5c0e886baf8cc35a9,0,0,0,0,,,,
7216387370203fc8f49d76cc2cb68bb5286c8dff,1,1,54,27,,,,
c4cef6fae9f2a55f21fc9517855dfcf659c89081,13,4.333333333,210,35,,,,
ba7f664a7fbb5612126e5144e58240ab05968259,0,0,0,0,,,,
43696a9e4230ae1952fa9d8d6ef400d7df0f1c6e,0,0,22,11,,,,
3e035a5edb10b01fc5997e1094e6fd704fba1d4a,0,0,106,53,,,,
52441ecd44d1feb049a152d5e585e89a910a5cd2,0,0,0,0,,,,
9f86923b5c936eefb6f435b46c1dbfc260aa431d,2,0.5,84,10.5,,,,
b1e59467fb37c6d21c3ade0b6758b422a9d09c92,0,0,32,8,,,,
84bd87353a3f092d00942e90aa20be3668a7456b,258,129,56,14,,,,
2c7ef2cee0ec50035beefd5fd25e815bf371f08b,1,1,48,24,,,,
bb5ae21c417b0c2571f3d5c1025758eaec2c380e,67,67,6,3,,,,
e19e1aae6990e46c766c5f7af02dfb5ffbf7c169,30,15,12,3,,,,
f94d0ea1dca36d5a93c83564cb873537edf6e2c7,6,3,32,8,,,,
ded4613ae43842d4b960137843eb83a7472adc65,11,11,60,30,,,,
1aeb18038661d8da6d37fa278e37e315e35c5c42,5,0.833333333,40,3.333333333,,,,
70dd5630463cb8aabd927a3a4944aedbd90b70af,40,20,158,39.5,,,,
ed4389b055bd2a3b735fc846a27091b29e72a398,3,1,166,27.66666667,,,,
e08453f31ae2a195f86a763f0b1c5e617df0e1ce,11,11,40,20,,,,
19dd9a0ebd570ac134e115f2339912a1015ecde5,1727,431.75,184,23,,,,
f40e934983f0b6685c25472e3cd2764cd177e1e7,23,23,42,21,,,,
a6d7e09e89a73b3706aabbf2d08586f238348c7c,50,25,368,92,,,,
b526e44a37776861b187de62ebc4e21ba4c67cc4,1501,375.25,56,7,,,,
6ad59cbb0f2ee4d5519fbf4f26f5f28addece9f9,0,0,0,0,,,,
2d44f879a2af258ce5bba75ab3a478e2066f3c10,0,0,36,18,,,,
0debd5dd487e979ff80dac5cd762d457eee5caf4,1,1,54,27,,,,
5dae375c24c99c687b8edf912100a6fffb30dd4b,29,29,34,17,,,,
5185a28139800a9fef49dabc6c110e017f83cdd6,1,0.076923077,52,2,,,,
888bfb09da4367a2eebe41a1a086a802449d2af6,2,0.666666667,30,5,,,,
be98fa32c7d56ea91359b647a329356fa44eca04,285,16.76470588,138,4.058823529,,,,
5eb91476f15650c1cd443502fca093b21315ea09,0,0,0,0,,,,
c760d2dbfdaf743052be620f58c1f123420e9086,1,0.111111111,62,3.444444444,,,,
27b3746b33006afd2d2153e529e9d5b2886a900b,0,0,0,0,,,,
3655780f96c03af29b368d7ddc379938c18643ad,0,0,0,0,,,,
d7e8b57d0a98696a05cfb0eb15236a34301d9d0a,196,28,196,14,,,,
5e965df21d2bcaf236c4f79b6a73db6f3f2c0459,0,0,44,22,,,,
aad60ec53683e057c05ff760200a467e844cfba3,7,7,38,19,,,,
9c9f609313b6a0ddf8e226b291324c97b504d07f,0,0,0,0,,,,
5c9d671bfb5b5111069aadc9bf3f742f369c74ae,5,2.5,54,13.5,,,,
c887fbd79503824882df08365e39d27580164ac9,0,0,0,0,,,,
6382d27abd3edcfab0e77fa3568ff5312a7d86c0,0,0,16,8,,,,
14d9a2b06c58f544f0db13267091cf94ed0d2e97,2,1,70,17.5,,,,
69bec7866bcf09f672c99a330ace4ab9aa426266,0,0,0,0,,,,
6f580d6a5ae9cb553aa8486499af35a46406c4c6,12,6,120,30,,,,
2d1f3d7c514ab1c9f725a0a5e940656278d53f34,44,14.66666667,62,10.33333333,,,,
569cd194d20e61d35768b210b4351f4eeb5c1ef8,0,0,0,0,,,,
7bd7699e172b91527f927957077c148675f9f332,0,0,0,0,,,,
18bb58a5a6f6669d6e55cc1e58b45a3437610185,0,0,0,0,,,,
6952a9be5b2e60a7a1d8b64b1eef03d6a5b61c56,0,0,0,0,,,,
99468bab8aadefbeb125f357589f8e99f262b534,7,3.5,24,6,,,,
5b0bf90d262ba6ece448c463d0fed5095cd5eb21,0,0,0,0,,,,
9b710bc13b9f8d8cf163d14d1f6e741e7851b06e,0,0,16,8,,,,
e7a6906da6a462ec1d830e3847eef6c9890f6843,8,8,34,17,,,,
048ce11557402f7689a384a6ab02d49e21159cb9,5,2.5,4,1,,,,
dac828dd810526a880ffdd6ef455b14af78f3e8e,2,2,50,25,,,,
64a1448d87727878d9789906b2f4f5b9e3d74e38,0,0,20,10,,,,
1baadd85130812161f6a56aa05ab5bf2cac99cef,3,3,34,17,,,,
592c8bffd6afd485063e9339e0707829884180ac,29,14.5,8,2,,,,
98992786f3ecb477e7b178237b6afee1153d59ef,0,0,0,0,,,,
305300cd9c7d6048c8a83312fcc6b9a3057e355a,4,4,64,32,,,,
21b5d0e2c3dfcafcca098d285498ffc9fbbf0498,112,56,158,39.5,,,,
5b32132762cdaeb558833d5e36629b4248d4be48,0,0,0,0,,,,
b2bc9d276224bf8e9fe1a3953907cfbb8f3da837,119,59.5,260,65,,,,
842c44cb07a34f03b02388b2f122c8b3914db32d,102,20.4,158,15.8,,,,
6292c5130658af66b55b91c55e8458a3a2f4060f,3,1.5,16,4,,,,
171526ff8f590a40a79beb7b0c48ad695fb210df,237,118.5,30,7.5,,,,
fef555f58d21ff6e34a89d5b7697dc6911bf7253,1,1,4,2,,,,
8f222e2ad87efc26288932d8f78f96fe0de8ec27,25,25,78,39,,,,
3883b4f5b1a55922bdbe4e69109ff1f6b7f8277d,0,0,0,0,,,,
05d0f60ebefaeb7721ac572f1253c2c7b2f42dec,0,0,0,0,,,,
f4dfb55243cccf8bbf4176fee856f945f8564171,0,0,16,8,,,,
96702729c8ac7ac99066c39693ddd38c3d7e9673,12,12,68,34,,,,
3e3799727cba6c729020747e88afd2fa65749486,3,3,78,39,,,,
4171cb7a3533de9524167d6f1f2d2f1cc3a7612b,3,3,92,46,,,,
28ff65f4dc67349ff88e4cd161b6bced7e9bf477,0,0,48,24,,,,
c91f12f9e94a296a94bf9441019d11d49315d12b,4,4,36,18,,,,
f0295646071ee6f60f2381d7b6c63d25b1ebc887,0,0,0,0,,,,
c55aec2ed78a5c436a522ad571b10caaffa2295d,0,0,0,0,,,,
767d553fc2e67ef1ab93db2d468a76210531465d,0,0,22,11,,,,
2f0fa59d5903d4c9596ed42dcbaa9da0f77c78da,0,0,0,0,,,,
100ed2e91ead45f59639ec6b8aad16e6752818c4,3,1,132,22,,,,
8c838f29d4df0082021c8b1792feb1d917249b84,0,0,0,0,,,,
cf5b3c18ddff1f7edd8ff53e0db195e2d746fc01,679,679,44,22,,,,
9a8d74de0abdc87b099e1885f2865e16f104d6d8,11,11,46,23,,,,
e2364e3df6016cbcb927dfb50892160dc678afb0,40,40,34,17,,,,
25b2b682d616dd52c3515f443e3d25fc0224f3a2,0,0,0,0,,,,
7fba691110f3c85974b18edb760303e0b0993787,3,3,32,16,,,,
0c9c43c1483dbe8146f05a8df6ccb15f15a8f403,165,55,134,22.33333333,,,,
b8673b8468e997c687450c664e97098d0ed37abf,2,2,26,13,,,,
12d8432c69cc786fe58b378d1b16a57f10cfba04,3,3,30,15,,,,
9c2ec72b95c13991f3c62b762783373c3d691337,6,0.857142857,104,7.428571429,,,,
ac1f1c42c7728a78a776b5290e3442823debd659,0,0,0,0,,,,
5dd78ba08f31f9aa3c13d4e05ad4478033f7f4e8,79,8.777777778,346,19.22222222,,,,
9a5c728e4664cdd22ab999a9c7c15b7ed4965ce1,35,35,18,9,,,,
f46ce0a0b819b74c4f25b5d9fcbb8a83b62dd417,14,3.5,274,34.25,,,,
4a35b05b852e6ce6102e92d67cf2edb545e1e7a4,15,7.5,108,27,,,,
99802f0c1498b0630949e75f69afe1cc0c89c4d4,0,0,0,0,,,,
1698369924e5f14769fc4b107697626660d9ddf4,3,3,72,36,,,,
f45080e142f0f9b44e8b5948d88ee1dae922b906,203,101.5,22,5.5,,,,
8fedf683691d4ce6e1c1aea5dda3a4f16f29b635,4,4,48,24,,,,
d44a4755c9689c67e00847f4a5f63cf949d24610,1,1,10,5,,,,
a050bba2f0151beb508fa7ab6f58c25c4e92bfb0,17,2.833333333,314,26.16666667,,,,
f78661b03cc1affcdd222be50b35d956edac4711,0,0,0,0,,,,
2f87fde9bb4bad6787101c0d135419b350b201a5,117,58.5,108,27,,,,
b1bdeba086327e165ac990b9a28aaa65a9d67134,0,0,0,0,,,,
e5c8927fe87d0b0d91ac905ec2e57a4ea6f278ec,0,0,50,25,,,,
91e86688fc119e1bb67fd40ab30101015ddb638b,68,68,38,19,,,,
2171b057e3e6273ae065b2754acec26887ad5ddf,2,0.5,8,1,,,,
21d344524355af7baf9f140bd05d3b5e6bdd154d,1,1,58,29,,,,
e4df7fc75ad16412b9fbe800b2d7a0b94bbfe8a7,0,0,0,0,,,,
7e12d2d30f74b5fe1f80fac7192416cf6eb22d4d,21,7,184,30.66666667,,,,
07993161b1008c5baf206831c462696be3201f02,1,0.5,50,12.5,,,,
fb7f30d2bad0c84ffea4db862a71ba2e03d855d0,0,0,106,53,,,,
b93ce4d78c7a35950a72fde26dda3816301f27b3,1,0.5,34,8.5,,,,
61541404bcf216330cc081964dade9b2427e8491,0,0,0,0,,,,
c4049750e715f39224a73de9ed1cc69d4f14866a,10,10,80,40,,,,
ad8edac53c65368f7ff269332bd66bd85e2633b4,705,78.33333333,388,21.55555556,,,,
af437047a2d849d19f8de01b5ecfb685f813d6a2,206,68.66666667,26,4.333333333,,,,
9efa71ac0a0e9c5f3d52b0205eee2c015f96443f,31,31,26,13,,,,
834e9823fc727d89c6b8e959dee29efa617a5aec,0,0,0,0,,,,
635af8d700087b24bd8c212b14cf644e0f71a6fc,0,0,0,0,,,,
3dfdf34c1c3ce3a2348aedc4192956e5884a914b,0,0,4,0.4,,,,
84100c9085ddc30368582d02a4229d44622f85e2,4,4,64,32,,,,
